hai,25005
aku,18747
ya,18636
ini,12096
oke,11505
yang,9469
udah,8746
itu,8368
nggak,8277
ada,7790
sih,7034
bisa,6966
di,6919
enggak,6479
kita,6255
kamu,6007
kalau,5326
lagi,5308
mau,5217
apa,5003
nih,4695
aja,4287
gitu,4152
tuh,3922
iya,3663
kalian,3594
jadi,3463
kayak,3282
banget,3207
ke,3092
dulu,3083
juga,3016
gimana,3010
deh,2946
kan,2946
tadi,2797
tapi,2778
nah,2764
tahu,2410
sini,2369
dari,2262
jangan,2232
terus,2193
mana,2185
aduh,2105
kenapa,2027
dan,2016
kok,2007
kau,1982
sama,1962
harus,1823
kasih,1742
ayo,1715
dia,1705
bukan,1695
nanti,1666
tidak,1635
semua,1622
masih,1578
pakai,1521
saya,1495
coba,1466
belum,1439
halo,1417
punya,1348
nya,1344
bikin,1339
karena,1318
satu,1279
gak,1253
mati,1253
ngomong,1241
hehehe,1238
yo,1231
siapa,1227
lebih,1222
dong,1215
atau,1200
banyak,1189
buat,1187
untuk,1185
orang,1171
boleh,1145
sekarang,1097
sudah,1090
ni,1056
emang,1054
loh,1045
mungkin,1034
sampai,1026
terima,1003
lah,1001
lihat,999
makasih,977
cuma,976
makan,967
butuh,957
hah,944
salah,904
maaf,898
suka,883
kali,881
gini,849
baru,813
dengan,812
paling,783
bentar,773
apa-apa,766
hari,765
soalnya,763
kayaknya,763
biar,750
gila,735
akan,734
sekali,730
langsung,719
ngasih,718
pernah,716
mo,704
doang,703
naik,685
habis,681
tidur,664
indonesia,650
bagus,649
baca,647
disini,643
memang,643
tak,631
sendiri,630
namanya,628
om,627
ngapain,622
begitu,611
tolong,602
maksudnya,601
semuanya,595
sabar,590
mereka,589
yuk,588
keren,585
pasti,583
yah,582
ambil,579
dua,578
sangat,573
hei,568
pengen,564
susah,563
woi,563
enak,560
gue,559
atas,559
jam,540
wah,537
masuk,537
air,530
udahlah,530
misalnya,528
bener,527
usah,526
tunggu,522
sebenarnya,522
lupa,518
just,517
lain,516
ia,514
ngerti,506
bilang,496
balik,496
dah,491
katanya,487
makanya,485
situ,484
minum,480
pada,478
lu,473
depan,471
nama,470
si,467
bawah,465
pas,463
mulai,460
saja,460
serius,460
ntar,451
semangat,448
rumah,448
waktu,438
pak,435
kayla,430
berarti,429
adalah,422
nonton,419
jalan,416
bu,416
kobo,414
mundur,412
pokoknya,411
takut,410
berapa,406
besok,404
baik,402
suara,400
hanya,399
betul,399
biasa,399
cara,398
oleh,395
teh,391
mbak,390
bingung,387
bakal,386
sana,383
selesai,383
cepet,380
ayah,378
gede,375
apaan,373
lucu,371
siap,371
tinggal,368
ternyata,367
mah,366
waduh,366
kah,365
harusnya,364
cukup,363
cepat,361
dalam,361
kurang,359
keluar,359
buka,358
beneran,356
kiri,356
mami,354
kecil,352
jatuh,352
hilang,349
kemana,349
cat,347
na,345
benar,343
cari,341
bohong,339
anda,335
lanjut,334
tempat,333
begini,332
ikan,330
kemarin,329
turun,329
terlalu,322
kak,322
donna,322
masa,321
dapat,315
hidup,315
santai,315
akhirnya,313
sakit,313
perlu,310
belakang,308
malam,306
seperti,305
semoga,304
dimana,304
sebentar,303
beli,302
lewat,300
bahasa,300
warna,299
lama,297
tiga,296
apakah,295
aneh,293
tenang,292
pagi,288
merah,287
astaga,287
lalu,286
pulau,285
udah-udah,281
datang,280
gua,280
menjadi,278
penting,275
jauh,273
selalu,273
cuman,271
ndak,270
saat,269
tetap,268
huhuhu,265
kanan,265
pergi,262
cerita,261
pun,260
kami,260
caranya,258
bangun,257
hujan,257
kapan,256
ketemu,255
nanya,255
luar,253
anak,252
tengah,251
aman,250
donasinya,247
biasanya,245
kata,245
hihihi,243
neng,242
ketawa,242
setelah,241
allah,240
senpai,239
makanan,238
plastik,238
tinggi,235
makin,235
sering,234
bawa,233
sambil,233
daun,232
mata,231
disitu,229
pencet,227
bareng,227
bisa-bisa,227
bang,225
ampun,225
tutup,223
kek,222
ngetik,222
kesini,222
de,221
lari,221
kambing,219
taruh,219
tiba-tiba,218
yaudah,217
batu,217
mas,216
malah,216
kena,215
selamat,214
ganti,213
hiu,213
hampir,211
putih,211
tahun,208
laut,208
tet,208
ngambil,207
minta,206
ibu,206
ingin,205
nenek,205
agak,204
bintang,204
kubu,204
apalagi,203
yaitu,202
pertama,202
tau,200
tanya,198
bapak,198
belajar,198
pintu,198
jika,197
fikri,197
sesuatu,196
sebelum,196
tes,195
masalah,195
serem,195
inget,195
ada-ada,194
parah,194
maju,193
kowe,192
melihat,192
dikit,190
hal,190
minggu,190
ininya,189
seru,189
percaya,189
suaranya,189
dapet,188
weh,187
donasi,187
nangis,186
really,186
beda,186
biru,186
sayang,185
pulang,185
mohon,184
nyanyi,184
kelihatan,183
hati,183
ela,183
ii,182
nomor,181
lainnya,181
bener-bener,180
ting,178
diri,178
kenal,176
mari,176
awas,176
bukannya,176
para,175
setiap,175
maunya,175
ikut,175
sore,174
kerja,173
nyari,173
kuning,173
marah,172
gara-gara,171
empat,171
kalo,171
dragon,170
es,170
kapal,169
kadang,168
kayu,168
burung,168
cantik,167
koe,167
ku,166
kaya,166
okelah,165
mandi,165
terakhir,164
okay,163
ulang,163
dek,161
kucing,161
biji,161
jelas,160
cek,160
capek,160
nunggu,160
mobil,159
kaget,159
teteh,158
where,158
fokus,158
nene,158
brush,157
sebagai,157
mulu,156
sedang,156
lagu,155
jangan-jangan,155
ga,155
mudah,155
atuh,155
awal,154
jelek,154
jadinya,153
menit,153
asyik,152
fishing,152
yoru,152
mainnya,151
diambil,151
kirim,150
duit,150
foto,149
males,149
tentang,149
muncul,149
more,148
toh,148
hari-hari,148
itunya,148
benar-benar,148
kasihan,147
rezeki,146
seneng,146
sepatu,146
setengah,146
ama,145
pilih,145
sedih,144
tua,144
elah,143
ella,143
orangnya,143
entar,142
berhenti,142
teori,142
mending,142
nasi,142
sebelah,141
gigi,141
ingat,141
dekat,141
barang,141
bobok,141
kira,140
dikasih,139
gws,139
abis,139
diam,139
bos,139
yg,138
bagaimana,138
teman,138
tada,138
games,137
mantap,137
pohon,137
beberapa,136
cetak,136
isi,135
anjing,135
pegang,135
sesuai,134
er,134
deket,134
inilah,133
sayur,133
noah,132
tangan,132
artinya,132
mancing,132
kunci,132
lima,132
menang,131
slank,131
sekolah,131
pa-pa,130
kagak,130
jago,130
telah,130
ngelihat,130
review,129
cewek,129
kirain,128
horor,128
susu,127
ceritanya,127
tanpa,127
klik,127
gampang,127
gambar,126
lex,126
ngelag,126
cowok,126
pikir,126
hati-hati,126
kaki,126
hade,126
iro,126
bunga,125
disuruh,124
gelap,124
dewi,124
back,123
dipakai,123
ta,123
suruh,123
meledak,123
dimas,123
itulah,122
mu,122
sono,122
demi,122
gas,121
nyampe,121
gelas,121
dayung,121
boboiboy,120
doa,120
terjadi,120
amin,119
kupu-kupu,119
trust,119
padahal,119
engkau,119
dunia,119
dateng,118
soal,118
berdua,118
temen,118
berusaha,118
muka,117
hebat,117
wortel,117
nia,117
mimpi,117
rasanya,117
bersih,116
